gene_symbol	gene_symbol_long	_identifier	primary
PHR1	MYB-CC domain-containing transcription factor PHR1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G009600	1
SCAMP1	Secretory Carrier Membrane Protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G010300	1
SLTI248	DEAD-box RNA helicase gene	glyma.Wm82.gnm2.ann1.Glyma.01G010400	1
PPR3	Pentatricopeptide-Repeat protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G011300	1
PPR4	Pentatricopeptide-Repeat protein gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G011700	1
ANK1	Ankyrin Repeat protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G011900	1
ANK2	Ankyrin Repeat protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G013300	1
CRK1	cysteine-rich receptor-like protein kinase gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G013500	1
HSF-02	heat stress transcription factor 2 gene	glyma.Wm82.gnm2.ann1.Glyma.01G015900	1
ABCB2L-3	ABC transporter B family member 2-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G016500	1
ABCB39	ATP-Binding Cassette B/P-Glycoprotein gene 39	glyma.Wm82.gnm2.ann1.Glyma.01G016500	0
PLATZ1	PLATZ gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G017700	1
VQ1	VQ motif containing protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G018700	1
VQ1	VQ transcription factor gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G018700	0
PYL3	Pyrabactin Resistance 1-Like gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G018800	1
GH1	AUX/IAA family protein 1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G019400	1
IAA1	Indole-3-Acetic Acid Responsive gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G019400	0
ABCG6L-3	ABC transporter G family member 6-like gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G020000	1
SYMRK-ALPHA	symbiosis receptor kinase SymRK-alpha gene	glyma.Wm82.gnm2.ann1.Glyma.01G020100	1
DOF1.1	Dof transcription factor Chr. 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G021100	1
ERF1	Ethylene-Responsive Factor gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G025400	1
ABCB-4	ABC transporter B family member chloroplastic isoform X1	glyma.Wm82.gnm2.ann1.Glyma.01G026000	1
ALAAT2	alanine aminotransferase gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G026700	1
CRK2	cysteine-rich receptor-like protein kinase gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G028100	1
N-36A	early nodulin-36A gene	glyma.Wm82.gnm2.ann1.Glyma.01G028500	1
ALDH2B1	aldehyde dehydrogenase family 2 member B1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G031500	1
FBXL1	F-Box-like gene with LRR domain gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G036200	1
MMP2	Matrix metalloproteinase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.01G036900	1
GER5	germin-like protein gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G037800	1
MYB158	MYB transcription factor 158 gene	glyma.Wm82.gnm2.ann1.Glyma.01G038600	1
IAA2	Indole-3-Acetic Acid Responsive gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G039300	1
GSTU1	tau class glutathione S-transferase gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G040000	1
PLP2	proteolipid protein 2 (colonic epithelium-enriched) gene	glyma.Wm82.gnm2.ann1.Glyma.01G042300	1
WHY1	Whirly gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G043000	1
IQD2	protein IQ-DOMAIN gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G043800	1
TCP1	Teosinte branched1 and cycloidea and proliferating cell factor family protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G045500	1
SLD1.1	delta-8-sphingolipid desaturase 1	glyma.Wm82.gnm2.ann1.Glyma.01G046000	1
SG-4	UDP-arabinose glycosyltransferase gene	glyma.Wm82.gnm2.ann1.Glyma.01G046300	1
UGT73P10	Plant uridine 5' -diphosphate glycosyltransferase 73P10 gene	glyma.Wm82.gnm2.ann1.Glyma.01G046300	0
NAC002	NAC domain-containing protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G046800	1
PPR5	Pentatricopeptide-Repeat protein gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G048100	1
RNS10	RNaseT2 protein gene 10	glyma.Wm82.gnm2.ann1.Glyma.01G048200	1
RNS11	RNaseT2 protein gene 11	glyma.Wm82.gnm2.ann1.Glyma.01G048400	1
PHR2	MYB-CC domain-containing transcription factor PHR2 gene	glyma.Wm82.gnm2.ann1.Glyma.01G049100	1
FBXL3	F-Box-like gene with LRR domain gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G049300	1
DOF1.2	Dof transcription factor Chr. 1 gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G049400	1
GLN1	Glutamine Synthase gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G049700	1
EXPA1	alpha-expansin gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G050100	1
NAC003	NAC domain-containing protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G051300	1
NAC1	NAC domain-containing protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G051300	0
ANK3	Ankyrin Repeat protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G052600	1
chitinaseIII-1	Chitinase Group 3 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G055200	1
ANK4	Ankyrin Repeat protein gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G055500	1
WRKY3	WRKY Transcription Factor gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G056800	1
SGF14e	14-3-3 protein SGF14 gene e	glyma.Wm82.gnm2.ann1.Glyma.01G058000	1
GLN2	Glutamine Synthase gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G058300	1
PPR6	Pentatricopeptide-Repeat protein gene 6	glyma.Wm82.gnm2.ann1.Glyma.01G060400	1
PITP1	Phosphatidylinositol Transfer Protein-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G061400	1
SABATH1	SABATH gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G063100	1
SABATH1	salicylic acid methyl transferase-like protein gene	glyma.Wm82.gnm2.ann1.Glyma.01G063100	0
AP1b	Apetella 1 gene b	glyma.Wm82.gnm2.ann1.Glyma.01G064200	1
GELP1	GDSL-type esterase/lipase protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G067200	1
bZIP2	Basic leucine zipper transcription factor-like protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G069300	1
CHR1	Chromatin Remodeling Protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G073400	1
EXPB1	beta-expansin gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G077000	1
CIM1	cytokinin induced message gene	glyma.Wm82.gnm2.ann1.Glyma.01G077000	0
PLATZ2	PLATZ gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G078600	1
MKS2	methylketone synthase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.01G080400	1
ERF2	Ethylene-Responsive Factor gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G081100	1
MED14-3	Mediator Complex 14 gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G083100	1
ALMT1	aluminum-activated malate transporter family protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G083700	1
FWL7	protein FW2.2-like 7 gene	glyma.Wm82.gnm2.ann1.Glyma.01G084000	1
TGA01	TGA transcription factor gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G084200	1
MED25-2	Mediator Complex 25 gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G086600	1
AOC1	allene oxide cyclase 4 gene, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.01G086900	1
RAV1	AP2/ERF transcription factor family protein RAV1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G087500	1
B3-02	B3 Transcription Factor gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G087500	0
B3-02	B3 Transcription Factor gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G087500	0
NAC004	NAC domain-containing protein gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G088200	1
PEPC1	Phosphoenolpyruvate carboxylase gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G091000	1
ABCG21L-4	ABC transporter G family member 21-like gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G091100	1
CHS11	chalcone synthase gene 11	glyma.Wm82.gnm2.ann1.Glyma.01G091400	1
CHS6a	Chalcone and stilbene synthases, C-terminal domain; Chalcone and stilbene synthases, N-terminal domain 6 gene a	glyma.Wm82.gnm2.ann1.Glyma.01G091400	0
PHO1-H12	PHO1 family protein gene H12	glyma.Wm82.gnm2.ann1.Glyma.01G091800	1
PHO1.1	PHO Phosphate Trasporter group 1 gene 1.1	glyma.Wm82.gnm2.ann1.Glyma.01G091800	0
SPX-PHO1-1	SPX-PHO 1 containing protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G091800	0
ALA14	Aminophospholipid ATPase gene 14	glyma.Wm82.gnm2.ann1.Glyma.01G092900	1
KTi1	Kunitz-type trypsin inhibitor gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G095000	1
PLATZ3	PLATZ gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G096000	1
VQ2	VQ motif containing protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G096800	1
VQ2	VQ transcription factor gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G096800	0
PYL1	Pyrabactin Resistance 1-Like gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G097000	1
IAA3	Indole-3-Acetic Acid Responsive gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G098000	1
P5CS1	DELTA1-PYRROLINE-5-CARBOXYLATE SYNTHASE 1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G099800	1
ALDH18B1	delta-1-pyrroline-5-carboxylate synthase gene 18B1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G099800	0
B3-03	B3 Transcription Factor gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G103500	1
ARF02	Auxin Responsive Factor gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G103500	0
GSTU4	tau class glutathione S-transferase gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G106000	1
GELP2	GDSL-type esterase/lipase protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G106900	1
Lac1	Laccase gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G108200	1
Lac1	Laccase gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G108200	0
PMEI1	Pectin Methylesterase Inhibitor gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G111400	1
SMXL01	Suppressor of Max2 gene 1-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G112300	1
Lac2	Laccase gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G112600	1
PIP1-9	aquaporin PIP1-9 gene	glyma.Wm82.gnm2.ann1.Glyma.01G113400	1
LAX1	auxin transporter-like protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G114000	1
Sle3	Group-1 late embryogenesis abundant protein 3 gene	glyma.Wm82.gnm2.ann1.Glyma.01G119600	1
FAD8	Fatty acid desaturase 8 gene	glyma.Wm82.gnm2.ann1.Glyma.01G120400	1
FAD8-1	fatty acid desaturase 8 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G120400	0
GELP3	GDSL-type esterase/lipase protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G122000	1
AMT2.3	ammonium transporter 2 gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G123400	1
SFERH-2	ferritin gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G124500	1
PYL9	Pyrabactin Resistance 1-Like gene 9	glyma.Wm82.gnm2.ann1.Glyma.01G124700	1
DIR22	dirigent protein 22 gene	glyma.Wm82.gnm2.ann1.Glyma.01G127200	1
PATL1	Patellin-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G127500	1
FBXL2	F-Box-like gene with LRR domain gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G128200	1
LOR1	LURP-one related protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G129000	1
LOR2	LURP-one related protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G129100	1
ALKBH1-5	AlkB homologue 1 gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G129600	1
PIB1	bHLH transcription factor PIB1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G129700	1
POD1	Peroxidase gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G130500	1
POD2	Peroxidase gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G130800	1
LBD1	LBD domain-containing transcription factor gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G131000	1
B3-04	B3 Transcription Factor gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G133000	1
PT01	glycinol 2-dimethylallyl transferase gene	glyma.Wm82.gnm2.ann1.Glyma.01G134600	1
SPX1	SPX containing protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G135500	1
GOS12	SNARE GOS12 gene	glyma.Wm82.gnm2.ann1.Glyma.01G137300	1
PMEI2	Pectin Methylesterase Inhibitor gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G137700	1
PMEI3	Pectin Methylesterase Inhibitor gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G138000	1
PMEI4	Pectin Methylesterase Inhibitor gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G138100	1
PMEI5	Pectin Methylesterase Inhibitor gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G138600	1
PMEI6	Pectin Methylesterase Inhibitor gene 6	glyma.Wm82.gnm2.ann1.Glyma.01G138700	1
GSTZ1	glutathione S-transferase zeta class gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G142800	1
HSF-05	heat stress transcription factor 5 gene	glyma.Wm82.gnm2.ann1.Glyma.01G143500	1
LBD3	LBD domain-containing transcription factor gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G143900	1
CYP42	peptidyl-prolyl cis-trans isomerase CYP42 gene	glyma.Wm82.gnm2.ann1.Glyma.01G144800	1
GLYI-1	Glyoxylase 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G146300	1
EXLB1	expansin-like B gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G148000	1
GRF1	growth-regulating factor gene1	glyma.Wm82.gnm2.ann1.Glyma.01G148600	1
ANK5	Ankyrin Repeat protein gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G149900	1
ANK6	Ankyrin Repeat protein gene 6	glyma.Wm82.gnm2.ann1.Glyma.01G150400	1
ANK4	ankyrin repeats-containing protein	glyma.Wm82.gnm2.ann1.Glyma.01G150400	0
BES1-14	BES1-like gene 14	glyma.Wm82.gnm2.ann1.Glyma.01G151800	1
LEA2-1	late embryogenesis abundant 2 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G152600	1
GPRP4	glycine-rich protein A3-like protein 4 gene	glyma.Wm82.gnm2.ann1.Glyma.01G154000	1
ABCG14-1	ABC transporter G family member 14 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G154400	1
PHT3.1	Phosphate Trasporter group 3 gene 3.1	glyma.Wm82.gnm2.ann1.Glyma.01G157100	1
SAT1	Serine Acetyltransferase gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G160000	1
chitinaseI-1	Chitinase Group 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G160100	1
ANK7	Ankyrin Repeat protein gene 7	glyma.Wm82.gnm2.ann1.Glyma.01G161800	1
ANK8	Ankyrin Repeat protein gene 8	glyma.Wm82.gnm2.ann1.Glyma.01G161900	1
C2-1	C2-domain containing protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G162100	1
NRPB1-1	DNA-directed RNA polymerase II subunit 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G162200	1
LUXA	transcription factor LUXa gene	glyma.Wm82.gnm2.ann1.Glyma.01G162600	1
FDa1	Flowering Locus Da gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G163500	1
APX-5a1	Ascorbate peroxidase 5 gene a1	glyma.Wm82.gnm2.ann1.Glyma.01G164700	1
CDPK1	Calcium-Dependent Protein Kinases gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G166100	1
WOX01	Wuschel-related homeobox transcription factor gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G166800	1
NAC005	NAC domain-containing protein gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G167900	1
GLYI-2	Glyoxylase 1 gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G168400	1
AP3a	Apetala 3 gene a	glyma.Wm82.gnm2.ann1.Glyma.01G169600	1
POD3	Peroxidase gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G171100	1
SFH1	Sec14 homology protein 1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G171200	1
SABATH2	SABATH gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G171600	1
N:IFR	Isoflavone Reductase gene	glyma.Wm82.gnm2.ann1.Glyma.01G172600	1
Lac3	Laccase gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G173500	1
Lac4	Laccase gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G173600	1
TLP1	Tubby-like Protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G173700	1
CHR2	Chromatin Remodeling Protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G175300	1
bZIP6	Basic leucine zipper transcription factor-like protein gene 6	glyma.Wm82.gnm2.ann1.Glyma.01G177400	1
BEHL1	BES1/BZR1 family protein like gene	glyma.Wm82.gnm2.ann1.Glyma.01G178000	1
BES1-5	BES1-like gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G178000	0
LYK4	lysM domain receptor-like kinase 4 gene	glyma.Wm82.gnm2.ann1.Glyma.01G179000	1
NFR5B	Nod-factor receptor 5B gene	glyma.Wm82.gnm2.ann1.Glyma.01G179100	1
GELP4	GDSL-type esterase/lipase protein gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G181600	1
WAK1	Wall Associated Kinase gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G182400	1
DOF1.3	Dof transcription factor Chr. 1 gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G183000	1
Lac5	Laccase gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G183100	1
SnRK2-1	SNF2-Related Kinase gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G183500	1
LBD4	LBD domain-containing transcription factor gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G183900	1
POD4	Peroxidase gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G184200	1
KRP1a	Kip-Related Protein gene 1a	glyma.Wm82.gnm2.ann1.Glyma.01G185400	1
HSF-01	heat stress transcription factor 1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G185800	1
WRKY5	WRKY Transcription Factor gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G189100	1
MYB112	MYB transcription factor 112 gene	glyma.Wm82.gnm2.ann1.Glyma.01G190100	1
NRAMP1A	divalent metal ion transporter NRAMP1 gene A	glyma.Wm82.gnm2.ann1.Glyma.01G190700	1
BTB001	BTB gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G192300	1
BTB001	BTB gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G192300	0
POD5	Peroxidase gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G192500	1
LBD5	LBD domain-containing transcription factor gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G192600	1
GLN3	Glutamine Synthase gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G193100	1
BTB002	BTB gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G193300	1
SCA1	plasma membrane Ca2+-ATPase SCA1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G193600	1
BTB003	BTB gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G193900	1
CYP19	peptidyl-prolyl cis-trans isomerase CYP19 gene	glyma.Wm82.gnm2.ann1.Glyma.01G194100	1
VQ3	VQ motif containing protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G195300	1
VQ3	VQ transcription factor gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G195300	0
bZIP7	Basic leucine zipper transcription factor-like protein gene 7	glyma.Wm82.gnm2.ann1.Glyma.01G195800	1
RLK3	receptor-like protein kinase 3 gene	glyma.Wm82.gnm2.ann1.Glyma.01G197800	1
G	G Locus gene	glyma.Wm82.gnm2.ann1.Glyma.01G198500	1
ALMT2	aluminum-activated malate transporter family protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G199400	1
ABCI7-3	Chloroplastic,Protein ABCI7 gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G199500	1
PRR48	Ubiquitous, Pseudo response regulator gene 48	glyma.Wm82.gnm2.ann1.Glyma.01G200800	1
EXLB2	expansin-like B gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G202100	1
C2-2	C2-domain containing protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G202200	1
BMY3-2	Beta-amylase 3 gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G203400	1
SnRK2-2	SNF2-Related Kinase gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G204200	1
SPK-1	protein kinase gene	glyma.Wm82.gnm2.ann1.Glyma.01G204200	0
CYP31	peptidyl-prolyl cis-trans isomerase CYP31 gene	glyma.Wm82.gnm2.ann1.Glyma.01G204300	1
EXLB3	expansin-like B gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G204800	1
ERF3	Ethylene-Responsive Factor gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G206600	1
ERF4	Ethylene-Responsive Factor gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G206700	1
SFH2	Sec14 homology protein 2 gene	glyma.Wm82.gnm2.ann1.Glyma.01G209900	1
INV	alkaline/neutral invertase gene	glyma.Wm82.gnm2.ann1.Glyma.01G211000	1
PMEI7	Pectin Methylesterase Inhibitor gene 7	glyma.Wm82.gnm2.ann1.Glyma.01G211300	1
ACS10a	ACC Synthase 10 gene a	glyma.Wm82.gnm2.ann1.Glyma.01G213700	1
ANS2	Anthocyanidin synthase gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G214200	1
D1	D1 gene	glyma.Wm82.gnm2.ann1.Glyma.01G214600	1
SGR2	Stay-green gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G214600	0
PLD-gamma	Phospholipase D gamma gene	glyma.Wm82.gnm2.ann1.Glyma.01G215100	1
C2-3	C2-domain containing protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G215100	0
IQD3	protein IQ-DOMAIN gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G217200	1
HSF-03	heat stress transcription factor 3 gene	glyma.Wm82.gnm2.ann1.Glyma.01G217400	1
OLPb	osmotin-like protein, acidic gene B	glyma.Wm82.gnm2.ann1.Glyma.01G217700	1
LOR3	LURP-one related protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G218200	1
C2-4	C2-domain containing protein gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G219200	1
PIP1-3	aquaporin PIP1-3 gene	glyma.Wm82.gnm2.ann1.Glyma.01G220600	1
MPK4	mitogen-activated protein kinase 4	glyma.Wm82.gnm2.ann1.Glyma.01G222000	1
SGT1-1	Suppressor of the G2 allele of SKP1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G222400	1
LOR4	LURP-one related protein gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G222600	1
LEA2-2	late embryogenesis abundant 2 gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G222800	1
CDPK2	Calcium-Dependent Protein Kinases gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G223200	1
ALMT3	aluminum-activated malate transporter family protein gene 13	glyma.Wm82.gnm2.ann1.Glyma.01G223300	1
CHX18a	Cation/H+ Exchanger Protein 18 gene A	glyma.Wm82.gnm2.ann1.Glyma.01G223600	1
ERF5	Ethylene-Responsive Factor gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G224100	1
LEA2-3	late embryogenesis abundant 2 gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G226100	1
GELP5	GDSL-type esterase/lipase protein gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G226300	1
CHS7	chalcone synthase gene 7	glyma.Wm82.gnm2.ann1.Glyma.01G228700	1
PPR7	Pentatricopeptide-Repeat protein gene 7	glyma.Wm82.gnm2.ann1.Glyma.01G230500	1
4CL4	4-coumarate:coenzyme A ligase gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G232400	1
HSF-04	heat stress transcription factor 4 gene	glyma.Wm82.gnm2.ann1.Glyma.01G233000	1
PLATZ4	PLATZ gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G234000	1
